TF	EntrezID	Complex_Name	PubMedID	Proteins	V2	V2	V2	V2	V2	SYMBOL	GENE_ID_Check
JUN	3725	ETS2-FOS-JUN complex	9334186	ETS2	554	690	1125	1484	185	ETS2	ENSG00000157557
JUN	3725	ESR1-JUN-GRIP1 complex	11477071	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
JUN	3725	ESR1-JUN-GRIP1 complex	11477071	JUN	1761	3209	904	1486	222	JUN	ENSG00000177606
JUN	3725	ESR1-JUN-GRIP1 complex	11477071	GRIP1	49	138	183	61	35	GRIP1	ENSG00000155974
JUN	3725	ESR1-JUN complex	11477071	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
JUN	3725	ESR1-JUN complex	11477071	JUN	1761	3209	904	1486	222	JUN	ENSG00000177606
JUN	3725	SMAD3-SMAD4-cJUN complex	10220381	JUN	1761	3209	904	1486	222	JUN	ENSG00000177606
JUN	3725	SMAD3-SMAD4-cJUN complex	10220381	SMAD3	696	804	612	723	1422	SMAD3	ENSG00000166949
JUN	3725	SMAD3-SMAD4-cJUN complex	10220381	SMAD4	782	465	396	466	122	SMAD4	ENSG00000141646
JUN	3725	JUN-FBW7-PRR7 complex	27458189	JUN	1761	3209	904	1486	222	JUN	ENSG00000177606
JUN	3725	JUN-FBW7-PRR7 complex	27458189	PRR7	15	9	24	22	11	PRR7	ENSG00000131188
JUN	3725	JUN-FBW7-PRR7 complex	27458189	FBXW7	265	562	303	512	198	FBXW7	ENSG00000109670
NFIA	4774	No complex	No complex	NFIA	104	116	172	341	192	NFIA	ENSG00000162599
ARNT	405	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	ARNT	695	420	373	668	174	ARNT	ENSG00000143437
ARNT	405	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	AHR	88	313	208	712	78	AHR	ENSG00000106546
ARNT	405	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	RBX1	757	152	663	656	82	RBX1	ENSG00000100387
ARNT	405	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	TBL3	285	210	173	393	70	TBL3	ENSG00000183751
ARNT	405	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	CUL4B	936	300	354	333	165	CUL4B	ENSG00000158290
ARNT	405	Ubiquitin E3 ligase (AHR, ARNT, DDB1, TBL3, CUL4B, RBX1)	17392787	DDB1	1845	614	598	1142	332	DDB1	ENSG00000167986
ARNT	405	NEMO-HIF2(alpha)-ARNT complex	15653678	ARNT	695	420	373	668	174	ARNT	ENSG00000143437
ARNT	405	NEMO-HIF2(alpha)-ARNT complex	15653678	EPAS1	835	1154	4678	1828	363	EPAS1	ENSG00000116016
ARNT	405	NEMO-HIF2(alpha)-ARNT complex	15653678	IKBKG	47	18	23	12	6	IKBKG	ENSG00000269335
ARNT	405	ARNT-HIF1A complex	8663540	ARNT	695	420	373	668	174	ARNT	ENSG00000143437
ARNT	405	ARNT-HIF1A complex	8663540	HIF1A	1333	1780	4251	2649	514	HIF1A	ENSG00000100644
RFX5	5993	No complex	No complex	RFX5	79	88	152	275	67	RFX5	ENSG00000143390
ZBTB7B	51043	No complex	No complex	ZBTB7B	228	240	542	564	89	ZBTB7B	ENSG00000160685
USF1	7391	USF1-USF2 complex	14573800	USF1	442	225	265	658	143	USF1	ENSG00000158773
USF1	7391	USF1-USF2 complex	14573800	USF2	648	340	897	602	121	USF2	ENSG00000105698
ELF3	1999	No complex	No complex	ELF3	290	2071	1494	4537	442	ELF3	ENSG00000163435
ATF3	467	No complex	No complex	ATF3	1299	399	574	253	66	ATF3	ENSG00000162772
E2F6	1876	E2F-6 complex	12004135	E2F6	168	54	59	138	17	E2F6	ENSG00000169016
E2F6	1876	E2F-6 complex	12004135	GJB3	42	12	122	768	5	GJB3	ENSG00000188910
E2F6	1876	E2F-6 complex	12004135	MAX	236	106	226	426	87	MAX	ENSG00000125952
E2F6	1876	E2F-6 complex	12004135	RING1	74	266	134	128	26	RING1	ENSG00000204227
E2F6	1876	E2F-6 complex	12004135	TFDP1	1141	147	148	427	98	TFDP1	ENSG00000198176
E2F6	1876	E2F-6 complex	12004135	MGA	1268	726	809	699	361	MGA	ENSG00000174197
E2F6	1876	E2F-6 complex	12004135	YAF2	632	379	194	223	121	YAF2	ENSG00000015153
E2F6	1876	E2F-6 complex	12004135	L3MBTL2	403	250	339	370	117	L3MBTL2	ENSG00000100395
E2F6	1876	E2F-6 complex	12004135	EHMT2	134	64	121	137	55	EHMT2	ENSG00000204371
E2F6	1876	E2F-6 complex	12004135	RNF2	318	71	156	287	29	RNF2	ENSG00000121481
E2F6	1876	E2F-6 complex	12004135	PCGF6	234	64	65	100	31	PCGF6	ENSG00000156374
E2F6	1876	E2F-6 complex	12004135	EHMT1	495	508	276	823	340	EHMT1	ENSG00000181090
FOSL2	2355	No complex	No complex	FOSL2	1064	1951	4795	3402	437	FOSL2	ENSG00000075426
MTA3	57504	Mi-2/NuRD-MTA3 complex	15454082	MTA2	1449	458	473	776	125	MTA2	ENSG00000149480
MTA3	57504	Mi-2/NuRD-MTA3 complex	15454082	MBD3	736	157	271	536	101	MBD3	ENSG00000071655
MTA3	57504	Mi-2/NuRD-MTA3 complex	15454082	BCL6	122	151	211	532	111	BCL6	ENSG00000113916
MTA3	57504	Mi-2/NuRD-MTA3 complex	15454082	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
MTA3	57504	Mi-2/NuRD-MTA3 complex	15454082	MTA3	856	990	845	934	192	MTA3	ENSG00000057935
MTA3	57504	Mi2/NuRD-BCL6-MTA3 complex	15454082	MBD3	736	157	271	536	101	MBD3	ENSG00000071655
MTA3	57504	Mi2/NuRD-BCL6-MTA3 complex	15454082	BCL6	122	151	211	532	111	BCL6	ENSG00000113916
MTA3	57504	Mi2/NuRD-BCL6-MTA3 complex	15454082	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
MTA3	57504	Mi2/NuRD-BCL6-MTA3 complex	15454082	CHD4	530	413	606	551	182	CHD4	ENSG00000111642
MTA3	57504	Mi2/NuRD-BCL6-MTA3 complex	15454082	MTA3	856	990	845	934	192	MTA3	ENSG00000057935
MTA3	57504	NuRD.1 complex	9885572	MBD3	736	157	271	536	101	MBD3	ENSG00000071655
MTA3	57504	NuRD.1 complex	9885572	RBBP4	1258	318	664	1132	285	RBBP4	ENSG00000162521
MTA3	57504	NuRD.1 complex	9885572	MTA1	471	241	238	323	139	MTA1	ENSG00000182979
MTA3	57504	NuRD.1 complex	9885572	CHD4	530	413	606	551	182	CHD4	ENSG00000111642
MTA3	57504	NuRD.1 complex	9885572	RBBP7	1725	340	558	967	116	RBBP7	ENSG00000102054
MTA3	57504	NuRD.1 complex	9885572	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
MTA3	57504	NuRD.1 complex	9885572	HDAC2	1453	382	872	1239	190	HDAC2	ENSG00000196591
MTA3	57504	NuRD.1 complex	9885572	MTA3	856	990	845	934	192	MTA3	ENSG00000057935
ZNF2	7549	No complex	No complex	ZNF2	27	20	74	85	20	ZNF2	ENSG00000275111
SP3	6670	No complex	No complex	SP3	441	487	301	644	131	SP3	ENSG00000172845
KLF7	8609	No complex	No complex	KLF7	371	118	181	424	86	KLF7	ENSG00000118263
CREB1	1385	LMO4-CREB complex	16899735	CREB1	277	265	388	643	156	CREB1	ENSG00000118260
CREB1	1385	LMO4-CREB complex	16899735	LMO4	660	310	906	974	339	LMO4	ENSG00000143013
CREB1	1385	ATF4-CREB1 complex	12871976	CREB1	277	265	388	643	156	CREB1	ENSG00000118260
CREB1	1385	ATF4-CREB1 complex	12871976	ATF4	4205	1386	5236	2459	486	ATF4	ENSG00000128272
BHLHE40	8553	No complex	No complex	BHLHE40	578	1647	671	3669	814	BHLHE40	ENSG00000134107
PPARG	5468	No complex	No complex	PPARG	42	68	230	245	65	PPARG	ENSG00000132170
NR2C2	7182	No complex	No complex	NR2C2	384	266	204	641	247	NR2C2	ENSG00000177463
THRB	7068	THRB-RXRB complex	9346901	THRB	13	419	1544	207	72	THRB	ENSG00000151090
THRB	7068	THRB-RXRB complex	9346901	RXRB	23	47	52	87	19	RXRB	ENSG00000204231
MITF	4286	No complex	No complex	MITF	91	520	554	883	97	MITF	ENSG00000187098
FOXP1	27086	No complex	No complex	FOXP1	563	1424	1994	822	571	FOXP1	ENSG00000114861
ZNF148	7707	No complex	No complex	ZNF148	509	486	1168	1173	211	ZNF148	ENSG00000163848
ETV5	2119	No complex	No complex	ETV5	562	139	127	372	100	ETV5	ENSG00000244405
BCL6	604	BCL6-HDAC4 complex	11929873	BCL6	122	151	211	532	111	BCL6	ENSG00000113916
BCL6	604	BCL6-HDAC4 complex	11929873	HDAC4	113	178	353	180	94	HDAC4	ENSG00000068024
BCL6	604	BCL6-HDAC5 complex	11929873	BCL6	122	151	211	532	111	BCL6	ENSG00000113916
BCL6	604	BCL6-HDAC5 complex	11929873	HDAC5	519	272	541	830	143	HDAC5	ENSG00000108840
BCL6	604	BCL6-HDAC7 complex	11929873	BCL6	122	151	211	532	111	BCL6	ENSG00000113916
BCL6	604	BCL6-HDAC7 complex	11929873	HDAC7	1014	1720	456	839	237	HDAC7	ENSG00000061273
BCL6	604	Mi-2/NuRD-MTA3 complex	15454082	MTA2	1449	458	473	776	125	MTA2	ENSG00000149480
BCL6	604	Mi-2/NuRD-MTA3 complex	15454082	MBD3	736	157	271	536	101	MBD3	ENSG00000071655
BCL6	604	Mi-2/NuRD-MTA3 complex	15454082	BCL6	122	151	211	532	111	BCL6	ENSG00000113916
BCL6	604	Mi-2/NuRD-MTA3 complex	15454082	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
BCL6	604	Mi-2/NuRD-MTA3 complex	15454082	MTA3	856	990	845	934	192	MTA3	ENSG00000057935
BCL6	604	Mi2/NuRD-BCL6-MTA3 complex	15454082	MBD3	736	157	271	536	101	MBD3	ENSG00000071655
BCL6	604	Mi2/NuRD-BCL6-MTA3 complex	15454082	BCL6	122	151	211	532	111	BCL6	ENSG00000113916
BCL6	604	Mi2/NuRD-BCL6-MTA3 complex	15454082	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
BCL6	604	Mi2/NuRD-BCL6-MTA3 complex	15454082	CHD4	530	413	606	551	182	CHD4	ENSG00000111642
BCL6	604	Mi2/NuRD-BCL6-MTA3 complex	15454082	MTA3	856	990	845	934	192	MTA3	ENSG00000057935
RBPJ	3516	HES1 promoter corepressor complex	15546612	POLR2A	1323	1442	725	904	395	POLR2A	ENSG00000181222
RBPJ	3516	HES1 promoter corepressor complex	15546612	CDK7	205	72	708	240	50	CDK7	ENSG00000134058
RBPJ	3516	HES1 promoter corepressor complex	15546612	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	HES1 promoter corepressor complex	15546612	EP300	1909	1084	2516	1417	575	EP300	ENSG00000100393
RBPJ	3516	HES1 promoter corepressor complex	15546612	SUPT6H	1786	1320	1868	1983	431	SUPT6H	ENSG00000109111
RBPJ	3516	HES1 promoter corepressor complex	15546612	CREBBP	1105	1083	633	1133	400	CREBBP	ENSG00000005339
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	CCNT1	678	473	347	445	239	CCNT1	ENSG00000129315
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	POLR2A	1323	1442	725	904	395	POLR2A	ENSG00000181222
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	NOTCH1	189	202	154	284	188	NOTCH1	ENSG00000148400
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	CDK8	213	48	61	107	41	CDK8	ENSG00000132964
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	CDK7	205	72	708	240	50	CDK7	ENSG00000134058
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	CDK9	472	312	397	395	121	CDK9	ENSG00000136807
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	EP300	1909	1084	2516	1417	575	EP300	ENSG00000100393
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	MED1	796	461	1122	1262	186	MED1	ENSG00000125686
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	SUPT6H	1786	1320	1868	1983	431	SUPT6H	ENSG00000109111
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	MAML1	430	142	282	351	110	MAML1	ENSG00000161021
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	INPP5K	398	93	247	399	127	INPP5K	ENSG00000132376
RBPJ	3516	HES1 promoter-Notch enhancer complex	15546612	SUPT16H	1584	399	917	1243	273	SUPT16H	ENSG00000092201
RBPJ	3516	RBPJ-NOTCH1-MAML1 complex	11390662	NOTCH1	189	202	154	284	188	NOTCH1	ENSG00000148400
RBPJ	3516	RBPJ-NOTCH1-MAML1 complex	11390662	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	RBPJ-NOTCH1-MAML1 complex	11390662	MAML1	430	142	282	351	110	MAML1	ENSG00000161021
RBPJ	3516	RBP-Jkappa-Notch1 complex	12374742	NOTCH1	189	202	154	284	188	NOTCH1	ENSG00000148400
RBPJ	3516	RBP-Jkappa-Notch1 complex	12374742	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	RBP-Jkappa-SHARP complex	12374742	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	RBP-Jkappa-SHARP complex	12374742	SPEN	590	403	404	682	315	SPEN	ENSG00000065526
RBPJ	3516	SMRT-SKIP-CBF1 complex	11509665	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	SMRT-SKIP-CBF1 complex	11509665	SNW1	561	284	473	555	148	SNW1	ENSG00000100603
RBPJ	3516	SMRT-SKIP-CBF1 complex	11509665	NCOR2	1288	711	2146	1266	1126	NCOR2	ENSG00000196498
RBPJ	3516	SHARP-CtIP-RBP-Jkappa complex	16287852	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	SHARP-CtIP-RBP-Jkappa complex	16287852	SPEN	590	403	404	682	315	SPEN	ENSG00000065526
RBPJ	3516	SHARP-CtIP-RBP-Jkappa complex	16287852	RBBP8	144	351	1188	960	120	RBBP8	ENSG00000101773
RBPJ	3516	SHARP-CtBP1-CtIP-RBP-Jkappa corepressor complex	16287852	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	SHARP-CtBP1-CtIP-RBP-Jkappa corepressor complex	16287852	CTBP1	520	543	539	1183	251	CTBP1	ENSG00000159692
RBPJ	3516	SHARP-CtBP1-CtIP-RBP-Jkappa corepressor complex	16287852	SPEN	590	403	404	682	315	SPEN	ENSG00000065526
RBPJ	3516	SHARP-CtBP1-CtIP-RBP-Jkappa corepressor complex	16287852	RBBP8	144	351	1188	960	120	RBBP8	ENSG00000101773
RBPJ	3516	RBP-Jkappa-RING1-KyoT2 complex	14999091	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	RBP-Jkappa-RING1-KyoT2 complex	14999091	RING1	74	266	134	128	26	RING1	ENSG00000204227
RBPJ	3516	RBP-Jkappa-RING1-KyoT2 complex	14999091	FHL1	71	19	71	55	17	FHL1	ENSG00000022267
RBPJ	3516	YY1-Notch1-RBP-Jkappa complex	12913000	YY1	1112	2031	1647	1314	322	YY1	ENSG00000100811
RBPJ	3516	YY1-Notch1-RBP-Jkappa complex	12913000	NOTCH1	189	202	154	284	188	NOTCH1	ENSG00000148400
RBPJ	3516	YY1-Notch1-RBP-Jkappa complex	12913000	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	CBF1-HDAC1-SMRT complex	9694793	RBPJ	574	474	644	1086	270	RBPJ	ENSG00000168214
RBPJ	3516	CBF1-HDAC1-SMRT complex	9694793	HDAC1	861	427	915	1382	209	HDAC1	ENSG00000116478
RBPJ	3516	CBF1-HDAC1-SMRT complex	9694793	NCOR2	1288	711	2146	1266	1126	NCOR2	ENSG00000196498
FIP1L1	81608	No complex	No complex	FIP1L1	119	88	95	103	39	FIP1L1	ENSG00000145216
CLOCK	9575	Core clock complex	9576906	ARNTL	52	79	35	49	40	ARNTL	ENSG00000133794
CLOCK	9575	Core clock complex	9576906	CLOCK	236	434	1495	631	200	CLOCK	ENSG00000134852
CLOCK	9575	CRY1-Core clock complex	28388406	ARNTL	52	79	35	49	40	ARNTL	ENSG00000133794
CLOCK	9575	CRY1-Core clock complex	28388406	CLOCK	236	434	1495	631	200	CLOCK	ENSG00000134852
CLOCK	9575	CRY1-Core clock complex	28388406	CRY1	167	67	108	100	34	CRY1	ENSG00000008405
REST	5978	REST-CoREST-mSIN3A complex	10734093	REST	901	991	2066	1331	265	REST	ENSG00000084093
REST	5978	REST-CoREST-mSIN3A complex	10734093	SIN3A	1178	465	361	608	169	SIN3A	ENSG00000169375
REST	5978	REST-CoREST-mSIN3A complex	10734093	RCOR1	494	221	388	459	170	RCOR1	ENSG00000089902
NR2F1	7025	No complex	No complex	NR2F1	55	74	74	60	99	NR2F1	ENSG00000175745
CHD1	1105	No complex	No complex	CHD1	808	900	1274	2109	430	CHD1	ENSG00000153922
EGR1	1958	EGR-EP300 complex	15225550	EGR1	5659	4430	145	3766	656	EGR1	ENSG00000120738
EGR1	1958	EGR-EP300 complex	15225550	EP300	1909	1084	2516	1417	575	EP300	ENSG00000100393
NR3C1	2908	HNRNPU-NR3C1 complex	9353307	NR3C1	178	163	285	680	138	NR3C1	ENSG00000113580
NR3C1	2908	HNRNPU-NR3C1 complex	9353307	HNRNPU	6421	2518	6830	6656	1392	HNRNPU	ENSG00000153187
NR3C1	2908	CBX3-EHMT2-NR3C1 complex	28615290	NR3C1	178	163	285	680	138	NR3C1	ENSG00000113580
NR3C1	2908	CBX3-EHMT2-NR3C1 complex	28615290	CBX3	2256	1123	2192	2641	535	CBX3	ENSG00000122565
NR3C1	2908	CBX3-EHMT2-NR3C1 complex	28615290	EHMT2	134	64	121	137	55	EHMT2	ENSG00000204371
NR3C1	2908	CBX3-EHMT1-NR3C1 complex	28615290	NR3C1	178	163	285	680	138	NR3C1	ENSG00000113580
NR3C1	2908	CBX3-EHMT1-NR3C1 complex	28615290	CBX3	2256	1123	2192	2641	535	CBX3	ENSG00000122565
NR3C1	2908	CBX3-EHMT1-NR3C1 complex	28615290	EHMT1	495	508	276	823	340	EHMT1	ENSG00000181090
NR3C1	2908	DCP1A-NR3C1-PNRC2-UPF1-complex	25775514	NR3C1	178	163	285	680	138	NR3C1	ENSG00000113580
NR3C1	2908	DCP1A-NR3C1-PNRC2-UPF1-complex	25775514	UPF1	805	356	953	919	257	UPF1	ENSG00000005007
NR3C1	2908	DCP1A-NR3C1-PNRC2-UPF1-complex	25775514	DCP1A	442	315	594	833	174	DCP1A	ENSG00000272886
NR3C1	2908	DCP1A-NR3C1-PNRC2-UPF1-complex	25775514	PNRC2	455	244	436	478	90	PNRC2	ENSG00000189266
EBF1	1879	No complex	No complex	EBF1	85	31	438	212	28	EBF1	ENSG00000164330
ZKSCAN8	7745	No complex	No complex	ZKSCAN8	174	318	271	289	71	ZKSCAN8	ENSG00000198315
RXRB	6257	DRIP complex	9637681	MED7	147	122	126	259	38	MED7	ENSG00000155868
RXRB	6257	DRIP complex	9637681	MED14	618	331	286	306	135	MED14	ENSG00000180182
RXRB	6257	DRIP complex	9637681	MED24	685	632	425	1171	243	MED24	ENSG00000008838
RXRB	6257	DRIP complex	9637681	MED6	204	110	103	177	99	MED6	ENSG00000133997
RXRB	6257	DRIP complex	9637681	MED26	26	13	42	49	4	MED26	ENSG00000105085
RXRB	6257	DRIP complex	9637681	VDR	26	23	16	104	38	VDR	ENSG00000111424
RXRB	6257	DRIP complex	9637681	RXRB	23	47	52	87	19	RXRB	ENSG00000204231
RXRB	6257	DRIP complex	9637681	MED1	796	461	1122	1262	186	MED1	ENSG00000125686
RXRB	6257	DRIP complex	9637681	MED12	518	268	321	353	138	MED12	ENSG00000184634
RXRB	6257	DRIP complex	9637681	MED4	458	82	162	384	57	MED4	ENSG00000136146
RXRB	6257	DRIP complex	9637681	MED17	83	252	104	106	52	MED17	ENSG00000042429
RXRB	6257	DRIP complex	9637681	MED13	1382	1041	1521	1521	485	MED13	ENSG00000108510
RXRB	6257	DRIP complex	9637681	MED23	177	325	325	286	145	MED23	ENSG00000112282
RXRB	6257	DRIP complex	9637681	MED16	409	108	209	405	86	MED16	ENSG00000175221
RXRB	6257	THRB-RXRB complex	9346901	THRB	13	419	1544	207	72	THRB	ENSG00000151090
RXRB	6257	THRB-RXRB complex	9346901	RXRB	23	47	52	87	19	RXRB	ENSG00000204231
ZNF76	7629	No complex	No complex	ZNF76	207	472	437	487	219	ZNF76	ENSG00000065029
PRDM1	639	No complex	No complex	PRDM1	907	59	48	99	55	PRDM1	ENSG00000057657
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	MED14	618	331	286	306	135	MED14	ENSG00000180182
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	MED24	685	632	425	1171	243	MED24	ENSG00000008838
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	MED1	796	461	1122	1262	186	MED1	ENSG00000125686
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	KAT2A	400	1234	586	2108	580	KAT2A	ENSG00000108773
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	MED12	518	268	321	353	138	MED12	ENSG00000184634
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	MED17	83	252	104	106	52	MED17	ENSG00000042429
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	MED13	1382	1041	1521	1521	485	MED13	ENSG00000108510
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	MED23	177	325	325	286	145	MED23	ENSG00000112282
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	MED16	409	108	209	405	86	MED16	ENSG00000175221
ESR1	2099	TFTC-type histone acetyl transferase complex	11931763	TRRAP	1121	373	407	854	615	TRRAP	ENSG00000196367
ESR1	2099	ESR1-RELA-BCL3-NCOA3 complex	16331275	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	ESR1-RELA-BCL3-NCOA3 complex	16331275	BCL3	111	91	358	439	86	BCL3	ENSG00000069399
ESR1	2099	ESR1-RELA-BCL3-NCOA3 complex	16331275	RELA	344	309	263	493	116	RELA	ENSG00000173039
ESR1	2099	ESR1-RELA-BCL3-NCOA3 complex	16331275	NCOA3	1254	1020	1400	1244	422	NCOA3	ENSG00000124151
ESR1	2099	IKK-alpha--ER-alpha-AIB1 complex	15808510	CHUK	175	95	131	186	53	CHUK	ENSG00000213341
ESR1	2099	IKK-alpha--ER-alpha-AIB1 complex	15808510	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	IKK-alpha--ER-alpha-AIB1 complex	15808510	NCOA3	1254	1020	1400	1244	422	NCOA3	ENSG00000124151
ESR1	2099	p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	15020686	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	15020686	SRC	1922	428	1209	1587	163	SRC	ENSG00000197122
ESR1	2099	p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	15020686	PIK3R1	556	315	248	600	136	PIK3R1	ENSG00000145675
ESR1	2099	p130Cas-ER-alpha-cSrc-kinase- PI3-kinase p85-subunit complex	15020686	BCAR1	594	235	189	635	72	BCAR1	ENSG00000050820
ESR1	2099	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	12527756	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	12527756	CDK7	205	72	708	240	50	CDK7	ENSG00000134058
ESR1	2099	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	12527756	CCNH	145	150	167	188	68	CCNH	ENSG00000134480
ESR1	2099	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	12527756	MNAT1	141	196	218	265	80	MNAT1	ENSG00000020426
ESR1	2099	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	12527756	MTA1	471	241	238	323	139	MTA1	ENSG00000182979
ESR1	2099	ESR1-CDK7-CCNH-MNAT1-MTA1-HDAC2 complex	12527756	HDAC2	1453	382	872	1239	190	HDAC2	ENSG00000196591
ESR1	2099	Er-alpha-p53-hdm2 complex	10766163	ESR1	12	26	55	12	199	ESR1	ENSG00000091831
ESR1	2099	Er-alpha-p53-hdm2 complex	10766163	TP53	630	334	825	1156	128	TP53	ENSG00000141510
